"filename", "language", "C", "C++", "YAML", "comment", "blank", "total"
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_taskbar.c", "C", 12, 0, 0, 0, 1, 13
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/settings_taskbar.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_about.c", "C", 8, 0, 0, 0, 1, 9
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_about.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_appvars.c", "C", 8, 0, 0, 0, 1, 9
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_appvars.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_exit.c", "C", 8, 0, 0, 0, 1, 9
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_exit.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_files.c", "C", 8, 0, 0, 0, 1, 9
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_files.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_icon.c", "C", 40, 0, 0, 0, 1, 41
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_icon.h", "C++", 0, 14, 0, 0, 5, 19
"/run/media/mike/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/vysion/gfx/output/start_programs.c", "C", 8, 0, 0, 0, 1, 9
